nombre,telefono,sitio_web,correo,actividad,direccion,colonia,cp,municipio,entidad,latitud,longitud,tiene_web,fuente,fecha
Restaurante Casino Club de Campo de Guadalajara,+34687444178,https://casinoguadalajara.es/dt_gallery/restauracion-club-de-campo/,,Restaurantes,,,,Guadalajara,Jalisco,40.6135604,-3.1441097,Si,OpenStreetMap,2026-01-28 22:41:24
Mesón Bejanque,+34949219797,,,Restaurantes,Plaza de Bejanque 12,,19005,Guadalajara,Jalisco,40.632951,-3.1605649,No,OpenStreetMap,2026-01-28 22:41:24
Restaurante El Infantado,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6207136,-3.1618699,No,OpenStreetMap,2026-01-28 22:41:24
El Bodegón de Sancho,+34949222789,,,Restaurantes,,,,Guadalajara,Jalisco,40.6310939,-3.1500163,No,OpenStreetMap,2026-01-28 22:41:24
El Pampa,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6339883,-3.1576643,No,OpenStreetMap,2026-01-28 22:41:24
Celtigos,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6296766,-3.160369,No,OpenStreetMap,2026-01-28 22:41:24
La Mafia,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6298744,-3.16045,No,OpenStreetMap,2026-01-28 22:41:24
La Perla 1,,,,Restaurantes,Calle de Francisco Aritio,,,Guadalajara,Jalisco,40.6439004,-3.1813984,No,OpenStreetMap,2026-01-28 22:41:24
Ricardos,,,,Restaurantes,Calle de Francisco Aritio,,,Guadalajara,Jalisco,40.6435015,-3.1810754,No,OpenStreetMap,2026-01-28 22:41:24
Cafetería Marma,,,,Restaurantes,Calle del Dos de Mayo,,,Guadalajara,Jalisco,40.6354724,-3.1732075,No,OpenStreetMap,2026-01-28 22:41:24
La Nouba,,,,Restaurantes,Paseo de San Roque 18,,19001,Guadalajara,Jalisco,40.6298461,-3.1610652,No,OpenStreetMap,2026-01-28 22:41:24
El gusto de cocina de autor,,,,Restaurantes,Plaza de los Caídos 1,,19003,Guadalajara,Jalisco,40.6359009,-3.1678456,No,OpenStreetMap,2026-01-28 22:41:24
El Palomo,+34949230632,,,Restaurantes,Cuesta de San Miguel 5,,19001,Guadalajara,Jalisco,40.634177,-3.1633331,No,OpenStreetMap,2026-01-28 22:41:24
Loft76,,,,Restaurantes,Bulevar Clara Campoamor,,,Guadalajara,Jalisco,40.6466031,-3.1553228,No,OpenStreetMap,2026-01-28 22:41:24
La herradura,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6266642,-3.1892561,No,OpenStreetMap,2026-01-28 22:41:24
Asador Casa Ortiz,+34949101049,https://www.asadorcasaortiz.es/,,Restaurantes,Avenida de Eduardo Guitián 5,,,Guadalajara,Jalisco,40.6210962,-3.1609059,Si,OpenStreetMap,2026-01-28 22:41:24
Can-Vic,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6370104,-3.1533484,No,OpenStreetMap,2026-01-28 22:41:24
restaurante Diegos's,+34949253634,http://restaurantediegos.com/,,Restaurantes,,,,Guadalajara,Jalisco,40.6240744,-3.1980627,Si,OpenStreetMap,2026-01-28 22:41:24
Sotillo,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6273307,-3.1649784,No,OpenStreetMap,2026-01-28 22:41:24
Redondo,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6264248,-3.1650247,No,OpenStreetMap,2026-01-28 22:41:24
Bar restaurante de Costa a Costa,+34949877120,,,Restaurantes,Calle de Salvador Dalí 7,,19002,Guadalajara,Jalisco,40.6261329,-3.1721259,No,OpenStreetMap,2026-01-28 22:41:24
Doner Kebab Punjabi,+34949222777,https://www.kebabpunjabi.es/,,Restaurantes,Calle de Salvador Dalí 3,,19002,Guadalajara,Jalisco,40.6267925,-3.171914,Si,OpenStreetMap,2026-01-28 22:41:24
Restaurante El Laurel,+34949410780,https://ellaurelguada.es/,,Restaurantes,,,,Guadalajara,Jalisco,40.6238101,-3.2013881,Si,OpenStreetMap,2026-01-28 22:41:24
El Velero de Pacheco,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6301789,-3.1638389,No,OpenStreetMap,2026-01-28 22:41:24
Vips,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6219431,-3.1647357,No,OpenStreetMap,2026-01-28 22:41:24
100 Montaditos,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6223153,-3.1654463,No,OpenStreetMap,2026-01-28 22:41:24
Ginos,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6223351,-3.1654925,No,OpenStreetMap,2026-01-28 22:41:24
La Tasca del Chuletón,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6249946,-3.1603005,No,OpenStreetMap,2026-01-28 22:41:24
Ristorante Trattoria La Bella Famiglia,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6302081,-3.1625637,No,OpenStreetMap,2026-01-28 22:41:24
Restaurante Las Galeras,,,,Restaurantes,Autovía del Nordeste Km.60.600,,,Guadalajara,Jalisco,40.6583131,-3.1188179,No,OpenStreetMap,2026-01-28 22:41:24
Bureo,,,,Restaurantes,Calle de Toledo 19,,19002,Guadalajara,Jalisco,40.6240249,-3.159371,No,OpenStreetMap,2026-01-28 22:41:24
Botánico,,,,Restaurantes,,,,Guadalajara,Jalisco,40.6297878,-3.1577055,No,OpenStreetMap,2026-01-28 22:41:24
Menta Canela,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6300005,-3.1615882,No,OpenStreetMap,2026-01-28 22:42:14
Bar Cafetería La Tapa,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6329116,-3.1643223,No,OpenStreetMap,2026-01-28 22:42:14
Pasteleria Damar,,,,Cafeterias,Calle Wenceslao Argumosa 6,,,Guadalajara,Jalisco,40.6286138,-3.1645475,No,OpenStreetMap,2026-01-28 22:42:14
Los Faroles,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6325269,-3.1657687,No,OpenStreetMap,2026-01-28 22:42:14
Alcarria,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6272005,-3.1649032,No,OpenStreetMap,2026-01-28 22:42:14
Rodilla,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6294397,-3.1638148,No,OpenStreetMap,2026-01-28 22:42:14
Avenida,,,,Cafeterias,,,,Guadalajara,Jalisco,40.6273801,-3.1628322,No,OpenStreetMap,2026-01-28 22:42:14
Talleres RAMI,,,,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6303329,-3.1848282,No,OpenStreetMap,2026-01-28 22:42:58
Mobility-Centro,+34949202158,https://www.mobilitycentro.com/concesionarios/guadalajara,hola@mblcentro.com,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6271715,-3.1978529,Si,OpenStreetMap,2026-01-28 22:42:58
Gruas EL CHATO,,,,Talleres Mecanicos,,,,Guadalajara,Jalisco,40.6478196,-3.1347809,No,OpenStreetMap,2026-01-28 22:42:58
GH Dent & Medicina Estetica,,,,Dentistas,Calle del Cardenal González de Mendoza 8,,19001,Guadalajara,Jalisco,40.6328845,-3.1697242,No,OpenStreetMap,2026-01-28 22:43:42
Caredent,,,,Dentistas,,,,Guadalajara,Jalisco,40.6284666,-3.1635785,No,OpenStreetMap,2026-01-28 22:43:42
Gimnasio Jorge García Personal Trainer,,,,Gimnasios,,,,Guadalajara,Jalisco,40.637522,-3.1528068,No,OpenStreetMap,2026-01-28 22:45:10
Sport Center,,,,Gimnasios,,,,Guadalajara,Jalisco,40.6225194,-3.1616679,No,OpenStreetMap,2026-01-28 22:45:10
